Type:uinteger,Time:ulong,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:ulong,Logger:string,Module:string,Domain:string,Process:string,PID:uinteger,Local Time:ulong,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,Block Arg:string,
"","488753868350","0","C64XP_B","LM_switch: oldtsk: 0x874750, oldfunc: 0x249a60, newtsk: 0x874708, newfunc: 0x2aa860","CtxChg","TSK","TSK_idle","","3","SYSBIOS System Logger","_ti.uia.events.UIAThreadCtx","ti.sysbios.knl.Task","","","17631561839","8865616","2398816","8865544","2795616","","","","","",
"","488753940555","0","C64XP_A","LM_setPri: tsk: 0x874750, func: 0x249a60, oldPri: 1, newPri 9","Task_LM_setPri","Unknown","ti_uia_sysbios_IpcMP_transferAgentFxn__E()","","1","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642166936","8865616","2398816","1","9","","","","","",
"","488753950987","0","C64XP_A","LM_begin: hwi: 0x8563e0, func: 0x266db2, preThread: 2, intNum: 8, irp: 0x25c2c4","Start","HWI","EmacTx0Int()","","2","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642174238","8741856","2518450","2","8","2474692","0","0","0","",
"","488753953498","0","C64XP_A","LD_end: hwi: 0x8563e0","Stop","HWI","EmacTx0Int()","","3","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642175994","8741856","","","","","","","","",
"","488753954775","0","C64XP_A","LM_setPri: tsk: 0x874750, func: 0x249a60, oldPri: 9, newPri 1","Task_LM_setPri","Unknown","ti_uia_sysbios_IpcMP_transferAgentFxn__E()","","4","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642176889","8865616","2398816","9","1","","","","","",
"","488753956190","0","C64XP_A","LM_post: sem: 0x852fa8, count: 1","Semaphore_LM_post","Unknown","","","5","SYSBIOS System Logger","ti.sysbios.knl.Semaphore","ti.sysbios.knl.Semaphore","","","17642177879","8728488","1","","","","","","","",
"","488753957132","0","C64XP_A","LM_post: sem: 0x853048, count: 1","Semaphore_LM_post","Unknown","","","6","SYSBIOS System Logger","ti.sysbios.knl.Semaphore","ti.sysbios.knl.Semaphore","","","17642178538","8728648","1","","","","","","","",
"","488753958410","0","C64XP_A","LM_setPri: tsk: 0x874750, func: 0x249a60, oldPri: 1, newPri 9","Task_LM_setPri","Unknown","ti_uia_sysbios_IpcMP_transferAgentFxn__E()","","7","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642179433","8865616","2398816","1","9","","","","","",
"","488753961435","0","C64XP_A","LM_begin: hwi: 0x853b58, func: 0x2a81a0, preThread: 2, intNum: 5, irp: 0x28f144","Start","HWI","ti_sdo_ipc_family_c647x_Interrupt_intShmStub__I()","","8","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642181552","8731480","2785696","2","5","2683204","0","0","0","",
"","488753964067","0","C64XP_A","LM_post: swi: 0x855144, func: 0x2a9fe0, pri: 15","Post","SWI","ti_sdo_ipc_transports_TransportShm_swiFxn__I()","","9","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17642183391","8737092","2793440","15","0","","","","","",
"","488753965610","0","C64XP_A","LD_end: hwi: 0x853b58","Stop","HWI","ti_sdo_ipc_family_c647x_Interrupt_intShmStub__I()","","10","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642184474","8731480","","","","","","","","",
"","488753966064","0","C64XP_A","LM_begin: swi: 0x855144, func: 0x2a9fe0, preThread: 0","Start","SWI","ti_sdo_ipc_transports_TransportShm_swiFxn__I()","","11","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17642184791","8737092","2793440","0","0","","","","","",
"","488753969398","0","C64XP_A","LM_begin: hwi: 0x853b58, func: 0x2a81a0, preThread: 1, intNum: 5, irp: 0x2a9f44","Start","HWI","ti_sdo_ipc_family_c647x_Interrupt_intShmStub__I()","","12","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642187127","8731480","2785696","1","5","2793284","0","0","0","",
"","488753971730","0","C64XP_A","LM_post: swi: 0x855144, func: 0x2a9fe0, pri: 15","Post","SWI","ti_sdo_ipc_transports_TransportShm_swiFxn__I()","","13","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17642188756","8737092","2793440","15","0","","","","","",
"","488753973290","0","C64XP_A","LD_end: hwi: 0x853b58","Stop","HWI","ti_sdo_ipc_family_c647x_Interrupt_intShmStub__I()","","14","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642189848","8731480","","","","","","","","",
"","488753979504","0","C64XP_A","LM_post: event: 0x8745a8, currEvents: 0x2, eventId: 0x2","Event_LM_post","Unknown","","","15","SYSBIOS System Logger","ti.sysbios.knl.Event","ti.sysbios.knl.Event","","","17642194200","8865192","2","2","0","","","","","",
"","488753984715","0","C64XP_A","LM_post: sem: 0x852fa8, count: 1","Semaphore_LM_post","Unknown","","","16","SYSBIOS System Logger","ti.sysbios.knl.Semaphore","ti.sysbios.knl.Semaphore","","","17642197847","8728488","1","","","","","","","",
"","488753987467","0","C64XP_A","LD_end: swi: 0x855144","Stop","SWI","ti_sdo_ipc_transports_TransportShm_swiFxn__I()","","17","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17642199776","8737092","","","","","","","","",
"","488753987878","0","C64XP_A","LM_begin: swi: 0x855144, func: 0x2a9fe0, preThread: 0","Start","SWI","ti_sdo_ipc_transports_TransportShm_swiFxn__I()","","18","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17642200060","8737092","2793440","0","0","","","","","",
"","488753990407","0","C64XP_A","LD_end: swi: 0x855144","Stop","SWI","ti_sdo_ipc_transports_TransportShm_swiFxn__I()","","19","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17642201834","8737092","","","","","","","","",
"","488753998087","0","C64XP_A","LM_begin: hwi: 0x8563e0, func: 0x266db2, preThread: 2, intNum: 8, irp: 0x25c302","Start","HWI","EmacTx0Int()","","20","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642207206","8741856","2518450","2","8","2474754","0","0","0","",
"","488754000495","0","C64XP_A","LD_end: hwi: 0x8563e0","Stop","HWI","EmacTx0Int()","","21","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642208896","8741856","","","","","","","","",
"","488754001772","0","C64XP_A","LM_setPri: tsk: 0x874750, func: 0x249a60, oldPri: 9, newPri 1","Task_LM_setPri","Unknown","ti_uia_sysbios_IpcMP_transferAgentFxn__E()","","22","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642209787","8865616","2398816","9","1","","","","","",
"","488754010447","0","C64XP_B","LM_begin: hwi: 0x8532d8, func: 0x2a81a0, preThread: 2, intNum: 5, irp: 0x2aa8b4","Start","HWI","ti_sdo_ipc_family_c647x_Interrupt_intShmStub__I()","","4","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17631661305","8729304","2785696","2","5","2795700","0","0","0","",
"","488754012084","0","C64XP_A","LM_setPri: tsk: 0x874750, func: 0x249a60, oldPri: 1, newPri 9","Task_LM_setPri","Unknown","ti_uia_sysbios_IpcMP_transferAgentFxn__E()","","23","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642217003","8865616","2398816","1","9","","","","","",
"","488754012384","0","C64XP_B","LM_post: swi: 0x853644, func: 0x2a9fe0, pri: 15","Post","SWI","ti_sdo_ipc_transports_TransportShm_swiFxn__I()","","5","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17631662659","8730180","2793440","15","0","","","","","",
"","488754014484","0","C64XP_B","LD_end: hwi: 0x8532d8","Stop","HWI","ti_sdo_ipc_family_c647x_Interrupt_intShmStub__I()","","6","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17631664132","8729304","","","","","","","","",
"","488754014904","0","C64XP_B","LM_begin: swi: 0x853644, func: 0x2a9fe0, preThread: 0","Start","SWI","ti_sdo_ipc_transports_TransportShm_swiFxn__I()","","7","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17631664425","8730180","2793440","0","0","","","","","",
"","488754019952","0","C64XP_B","LM_post: sem: 0x852fa8, count: 1","Semaphore_LM_post","Unknown","","","8","SYSBIOS System Logger","ti.sysbios.knl.Semaphore","ti.sysbios.knl.Semaphore","","","17631667960","8728488","1","","","","","","","",
"","488754021890","0","C64XP_A","LM_begin: hwi: 0x8563e0, func: 0x266db2, preThread: 2, intNum: 8, irp: 0x2addea","Start","HWI","EmacTx0Int()","","24","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642223872","8741856","2518450","2","8","2809322","0","0","0","",
"","488754022567","0","C64XP_B","LD_end: swi: 0x853644","Stop","SWI","ti_sdo_ipc_transports_TransportShm_swiFxn__I()","","9","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17631669789","8730180","","","","","","","","",
"","488754024298","0","C64XP_A","LD_end: hwi: 0x8563e0","Stop","HWI","EmacTx0Int()","","25","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642225556","8741856","","","","","","","","",
"","488754025550","0","C64XP_A","LM_setPri: tsk: 0x874750, func: 0x249a60, oldPri: 9, newPri 1","Task_LM_setPri","Unknown","ti_uia_sysbios_IpcMP_transferAgentFxn__E()","","26","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642226431","8865616","2398816","9","1","","","","","",
"","488754035852","0","C64XP_A","LM_setPri: tsk: 0x874750, func: 0x249a60, oldPri: 1, newPri 9","Task_LM_setPri","Unknown","ti_uia_sysbios_IpcMP_transferAgentFxn__E()","","27","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642233644","8865616","2398816","1","9","","","","","",
"","488754045692","0","C64XP_A","LM_begin: hwi: 0x8563e0, func: 0x266db2, preThread: 2, intNum: 8, irp: 0x2addea","Start","HWI","EmacTx0Int()","","28","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642240532","8741856","2518450","2","8","2809322","0","0","0","",
"","488754048101","0","C64XP_A","LD_end: hwi: 0x8563e0","Stop","HWI","EmacTx0Int()","","29","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642242216","8741856","","","","","","","","",
"","488754049335","0","C64XP_A","LM_setPri: tsk: 0x874750, func: 0x249a60, oldPri: 9, newPri 1","Task_LM_setPri","Unknown","ti_uia_sysbios_IpcMP_transferAgentFxn__E()","","30","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642243083","8865616","2398816","9","1","","","","","",
"","488754059681","0","C64XP_A","LM_setPri: tsk: 0x874750, func: 0x249a60, oldPri: 1, newPri 9","Task_LM_setPri","Unknown","ti_uia_sysbios_IpcMP_transferAgentFxn__E()","","31","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642250324","8865616","2398816","1","9","","","","","",
"","488754069581","0","C64XP_A","LM_begin: hwi: 0x8563e0, func: 0x266db2, preThread: 2, intNum: 8, irp: 0x2addea","Start","HWI","EmacTx0Int()","","32","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642257256","8741856","2518450","2","8","2809322","0","0","0","",
"","488754072067","0","C64XP_A","LD_end: hwi: 0x8563e0","Stop","HWI","EmacTx0Int()","","33","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642258996","8741856","","","","","","","","",
"","488754073310","0","C64XP_A","LM_setPri: tsk: 0x874750, func: 0x249a60, oldPri: 9, newPri 1","Task_LM_setPri","Unknown","ti_uia_sysbios_IpcMP_transferAgentFxn__E()","","34","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642259865","8865616","2398816","9","1","","","","","",
"","488754083270","0","C64XP_A","LM_pend: event: 0x8745a8, currEvents: 0x2, andMask: 0x0, orMask: 0x7, timeout: -1","Event_LM_pend","Unknown","","","35","SYSBIOS System Logger","ti.sysbios.knl.Event","ti.sysbios.knl.Event","","","17642266834","8865192","2","0","7","4294967295","0","0","0","",
"","488754084067","0","C64XP_A","LM_pend: event: 0x8745a8, currEvents: 0x0, andMask: 0x0, orMask: 0x7, timeout: -1","Event_LM_pend","Unknown","","","36","SYSBIOS System Logger","ti.sysbios.knl.Event","ti.sysbios.knl.Event","","","17642267391","8865192","0","0","7","4294967295","0","0","0","",
"","488754084727","0","C64XP_A","LD_block: tsk: 0x874750, func: 0x249a60","Task_LD_block","Unknown","ti_uia_sysbios_IpcMP_transferAgentFxn__E()","","37","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642267853","8865616","2398816","","","","","","","",
"","488754085704","0","C64XP_A","LM_switch: oldtsk: 0x874750, oldfunc: 0x249a60, newtsk: 0x874708, newfunc: 0x2aa860","CtxChg","TSK","TSK_idle","","38","SYSBIOS System Logger","_ti.uia.events.UIAThreadCtx","ti.sysbios.knl.Task","","","17642268542","8865616","2398816","8865544","2795616","","","","","",
"","488754209552","0","C64XP_A","LM_begin: hwi: 0x8563b0, func: 0x26728a, preThread: 2, intNum: 7, irp: 0x29dd8c","Start","HWI","EmacRx0Int()","","39","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642355231","8741808","2519690","2","7","2743692","0","0","0","",
"","488754212561","0","C64XP_A","LM_post: sem: 0x856360, count: 0","Semaphore_LM_post","Unknown","","","40","SYSBIOS System Logger","ti.sysbios.knl.Semaphore","ti.sysbios.knl.Semaphore","","","17642357338","8741728","0","","","","","","","",
"","488754213161","0","C64XP_A","LD_ready: tsk: 0x8746c0, func: 0x2a2660, pri: 2","Task_LD_ready","Unknown","ti_ndk_config_Global_stackThread()","","41","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642357758","8865472","2762336","2","0","","","","","",
"","488754214421","0","C64XP_A","LD_end: hwi: 0x8563b0","Stop","HWI","EmacRx0Int()","","42","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642358640","8741808","","","","","","","","",
"","488754215475","0","C64XP_A","LM_switch: oldtsk: 0x874708, oldfunc: 0x2aa860, newtsk: 0x8746c0, newfunc: 0x2a2660","CtxChg","TSK","ti_ndk_config_Global_stackThread()","","43","SYSBIOS System Logger","_ti.uia.events.UIAThreadCtx","ti.sysbios.knl.Task","","","17642359377","8865544","2795616","8865472","2762336","","","","","",
"","488754217052","0","C64XP_A","LM_setPri: tsk: 0x8746c0, func: 0x2a2660, oldPri: 2, newPri 9","Task_LM_setPri","Unknown","ti_ndk_config_Global_stackThread()","","44","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642360483","8865472","2762336","2","9","","","","","",
"","488754222890","0","C64XP_A","LM_setPri: tsk: 0x8746c0, func: 0x2a2660, oldPri: 9, newPri 2","Task_LM_setPri","Unknown","ti_ndk_config_Global_stackThread()","","45","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642364569","8865472","2762336","9","2","","","","","",
"","488754223755","0","C64XP_A","LM_pend: sem: 0x856360, count: 0, timeout: -1","Semaphore_LM_pend","Unknown","","","46","SYSBIOS System Logger","ti.sysbios.knl.Semaphore","ti.sysbios.knl.Semaphore","","","17642365177","8741728","0","4294967295","0","","","","","",
"","488754224252","0","C64XP_A","LD_block: tsk: 0x8746c0, func: 0x2a2660","Task_LD_block","Unknown","ti_ndk_config_Global_stackThread()","","47","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642365521","8865472","2762336","","","","","","","",
"","488754225144","0","C64XP_A","LM_switch: oldtsk: 0x8746c0, oldfunc: 0x2a2660, newtsk: 0x874708, newfunc: 0x2aa860","CtxChg","TSK","TSK_idle","","48","SYSBIOS System Logger","_ti.uia.events.UIAThreadCtx","ti.sysbios.knl.Task","","","17642366148","8865472","2762336","8865544","2795616","","","","","",
"","488754226884","0","C64XP_A","LM_begin: hwi: 0x8563b0, func: 0x26728a, preThread: 2, intNum: 7, irp: 0x2b0128","Start","HWI","EmacRx0Int()","","49","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642367367","8741808","2519690","2","7","2818344","0","0","0","",
"","488754229558","0","C64XP_A","LM_post: sem: 0x856360, count: 0","Semaphore_LM_post","Unknown","","","50","SYSBIOS System Logger","ti.sysbios.knl.Semaphore","ti.sysbios.knl.Semaphore","","","17642369236","8741728","0","","","","","","","",
"","488754230124","0","C64XP_A","LD_ready: tsk: 0x8746c0, func: 0x2a2660, pri: 2","Task_LD_ready","Unknown","ti_ndk_config_Global_stackThread()","","51","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642369632","8865472","2762336","2","0","","","","","",
"","488754231367","0","C64XP_A","LD_end: hwi: 0x8563b0","Stop","HWI","EmacRx0Int()","","52","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642370502","8741808","","","","","","","","",
"","488754232421","0","C64XP_A","LM_switch: oldtsk: 0x874708, oldfunc: 0x2aa860, newtsk: 0x8746c0, newfunc: 0x2a2660","CtxChg","TSK","ti_ndk_config_Global_stackThread()","","53","SYSBIOS System Logger","_ti.uia.events.UIAThreadCtx","ti.sysbios.knl.Task","","","17642371239","8865544","2795616","8865472","2762336","","","","","",
"","488754233724","0","C64XP_A","LM_setPri: tsk: 0x8746c0, func: 0x2a2660, oldPri: 2, newPri 9","Task_LM_setPri","Unknown","ti_ndk_config_Global_stackThread()","","54","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642372151","8865472","2762336","2","9","","","","","",
"","488754238678","0","C64XP_A","LM_setPri: tsk: 0x8746c0, func: 0x2a2660, oldPri: 9, newPri 2","Task_LM_setPri","Unknown","ti_ndk_config_Global_stackThread()","","55","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642375619","8865472","2762336","9","2","","","","","",
"","488754239544","0","C64XP_A","LM_pend: sem: 0x856360, count: 0, timeout: -1","Semaphore_LM_pend","Unknown","","","56","SYSBIOS System Logger","ti.sysbios.knl.Semaphore","ti.sysbios.knl.Semaphore","","","17642376227","8741728","0","4294967295","0","","","","","",
"","488754239998","0","C64XP_A","LD_block: tsk: 0x8746c0, func: 0x2a2660","Task_LD_block","Unknown","ti_ndk_config_Global_stackThread()","","57","SYSBIOS System Logger","ti.sysbios.knl.Task","ti.sysbios.knl.Task","","","17642376547","8865472","2762336","","","","","","","",
"","488754240898","0","C64XP_A","LM_switch: oldtsk: 0x8746c0, oldfunc: 0x2a2660, newtsk: 0x874708, newfunc: 0x2aa860","CtxChg","TSK","TSK_idle","","58","SYSBIOS System Logger","_ti.uia.events.UIAThreadCtx","ti.sysbios.knl.Task","","","17642377174","8865472","2762336","8865544","2795616","","","","","",
"","488754247558","0","C64XP_B","LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x2aa8b0","Start","HWI","ti_sysbios_knl_Clock_doTick__I()","","10","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17631827282","8864704","2791456","2","14","2795696","0","0","0","",
"","488754247995","0","C64XP_B","LM_tick: tick: 19283","Clock_LM_tick","Unknown","","","11","SYSBIOS System Logger","ti.sysbios.knl.Clock","ti.sysbios.knl.Clock","","","17631827587","19283","","","","","","","","",
"","488754248407","0","C64XP_B","LM_post: swi: 0x8745e8, func: 0x294980, pri: 15","Post","SWI","ti_sysbios_knl_Clock_workFunc__E()","","12","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17631827877","8865256","2705792","15","0","","","","","",
"","488754248775","0","C64XP_B","LD_end: hwi: 0x8743c0","Stop","HWI","ti_sysbios_knl_Clock_doTick__I()","","13","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17631828136","8864704","","","","","","","","",
"","488754249195","0","C64XP_B","LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0","Start","SWI","ti_sysbios_knl_Clock_workFunc__E()","","14","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17631828427","8865256","2705792","0","0","","","","","",
"","488754249821","0","C64XP_B","LD_end: swi: 0x8745e8","Stop","SWI","ti_sysbios_knl_Clock_workFunc__E()","","15","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17631828865","8865256","","","","","","","","",
"","488754642667","0","C64XP_A","LM_begin: hwi: 0x8743c0, func: 0x2a9820, preThread: 2, intNum: 14, irp: 0x29dd88","Start","HWI","ti_sysbios_knl_Clock_doTick__I()","","59","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642658416","8864704","2791456","2","14","2743688","0","0","0","",
"","488754643121","0","C64XP_A","LM_tick: tick: 17736","Clock_LM_tick","Unknown","","","60","SYSBIOS System Logger","ti.sysbios.knl.Clock","ti.sysbios.knl.Clock","","","17642658732","17736","","","","","","","","",
"","488754643541","0","C64XP_A","LM_post: swi: 0x8745e8, func: 0x294980, pri: 15","Post","SWI","ti_sysbios_knl_Clock_workFunc__E()","","61","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17642659027","8865256","2705792","15","0","","","","","",
"","488754643935","0","C64XP_A","LD_end: hwi: 0x8743c0","Stop","HWI","ti_sysbios_knl_Clock_doTick__I()","","62","SYSBIOS System Logger","_ti.uia.events.UIAHWICtx","ti.sysbios.family.c64p.Hwi","","","17642659299","8864704","","","","","","","","",
"","488754644407","0","C64XP_A","LM_begin: swi: 0x8745e8, func: 0x294980, preThread: 0","Start","SWI","ti_sysbios_knl_Clock_workFunc__E()","","63","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17642659630","8865256","2705792","0","0","","","","","",
"","488754645084","0","C64XP_A","LD_end: swi: 0x8745e8","Stop","SWI","ti_sysbios_knl_Clock_workFunc__E()","","64","SYSBIOS System Logger","_ti.uia.events.UIASWICtx","ti.sysbios.knl.Swi","","","17642660103","8865256","","","","","","","","",
